| tabela              | coluna              | tipo_dado                | aceita_null |
| ------------------- | ------------------- | ------------------------ | ----------- |
| activities          | id                  | uuid                     | NO          |
| activities          | teacher_id          | uuid                     | NO          |
| activities          | class_id            | uuid                     | NO          |
| activities          | title               | character varying        | NO          |
| activities          | description         | text                     | YES         |
| activities          | content_url         | character varying        | YES         |
| activities          | status              | USER-DEFINED             | NO          |
| activities          | created_at          | timestamp with time zone | NO          |
| activities          | updated_at          | timestamp with time zone | NO          |
| activities          | published_at        | timestamp with time zone | YES         |
| avatars             | student_id          | uuid                     | NO          |
| avatars             | equipped_items      | jsonb                    | NO          |
| avatars             | updated_at          | timestamp with time zone | NO          |
| classes             | id                  | uuid                     | NO          |
| classes             | school_id           | uuid                     | NO          |
| classes             | name                | character varying        | NO          |
| classes             | grade               | character varying        | NO          |
| classes             | academic_year       | integer                  | NO          |
| classes             | shift               | USER-DEFINED             | NO          |
| classes             | is_active           | boolean                  | NO          |
| classes             | created_at          | timestamp with time zone | NO          |
| classes             | updated_at          | timestamp with time zone | NO          |
| classes             | code                | character varying        | NO          |
| classes             | pin                 | character varying        | NO          |
| profiles            | id                  | uuid                     | NO          |
| profiles            | email               | character varying        | NO          |
| profiles            | full_name           | character varying        | NO          |
| profiles            | cpf                 | character varying        | YES         |
| profiles            | phone               | character varying        | YES         |
| profiles            | birth_date          | date                     | YES         |
| profiles            | role                | USER-DEFINED             | NO          |
| profiles            | is_active           | boolean                  | NO          |
| profiles            | created_at          | timestamp with time zone | NO          |
| profiles            | updated_at          | timestamp with time zone | NO          |
| schools             | id                  | uuid                     | NO          |
| schools             | profile_id          | uuid                     | NO          |
| schools             | legal_name          | character varying        | NO          |
| schools             | trade_name          | character varying        | NO          |
| schools             | cnpj                | character varying        | NO          |
| schools             | inep_code           | character varying        | YES         |
| schools             | contact_email       | character varying        | YES         |
| schools             | phone               | character varying        | YES         |
| schools             | zip_code            | character varying        | YES         |
| schools             | street              | character varying        | YES         |
| schools             | number              | character varying        | YES         |
| schools             | complement          | character varying        | YES         |
| schools             | neighborhood        | character varying        | YES         |
| schools             | city                | character varying        | YES         |
| schools             | state               | character varying        | YES         |
| schools             | is_active           | boolean                  | NO          |
| schools             | created_at          | timestamp with time zone | NO          |
| schools             | updated_at          | timestamp with time zone | NO          |
| student_inventories | student_id          | uuid                     | NO          |
| student_inventories | item_id             | uuid                     | NO          |
| student_inventories | purchased_at        | timestamp with time zone | NO          |
| students            | id                  | uuid                     | NO          |
| students            | profile_id          | uuid                     | YES         |
| students            | school_id           | uuid                     | NO          |
| students            | class_id            | uuid                     | YES         |
| students            | guardian_id         | uuid                     | YES         |
| students            | enrollment_number   | character varying        | YES         |
| students            | coins               | integer                  | NO          |
| students            | xp                  | integer                  | NO          |
| students            | is_active           | boolean                  | NO          |
| students            | created_at          | timestamp with time zone | NO          |
| students            | updated_at          | timestamp with time zone | NO          |
| students            | name                | character varying        | YES         |
| students            | roll_number         | integer                  | YES         |
| students            | guardian_contact    | character varying        | YES         |
| students            | student_access_code | character varying        | YES         |
| students            | last_login_at       | timestamp with time zone | YES         |
| students            | fiction_name        | text                     | YES         |
| submissions         | id                  | uuid                     | NO          |
| submissions         | activity_id         | uuid                     | NO          |
| submissions         | student_id          | uuid                     | NO          |
| submissions         | student_answers     | jsonb                    | NO          |
| submissions         | status              | USER-DEFINED             | NO          |
| submissions         | submitted_at        | timestamp with time zone | NO          |
| submissions         | teacher_feedback    | text                     | YES         |
| submissions         | performance_rating  | character varying        | YES         |
| submissions         | corrected_at        | timestamp with time zone | YES         |
| teacher_classes     | teacher_id          | uuid                     | NO          |
| teacher_classes     | class_id            | uuid                     | NO          |
| teachers            | id                  | uuid                     | NO          |
| teachers            | profile_id          | uuid                     | NO          |
| teachers            | school_id           | uuid                     | NO          |
| teachers            | position            | character varying        | YES         |
| teachers            | registration_number | character varying        | YES         |
| teachers            | is_active           | boolean                  | NO          |
| teachers            | created_at          | timestamp with time zone | NO          |
| teachers            | updated_at          | timestamp with time zone | NO          |
